"","s.cushion","s.open","index","stat","p.value"
"Erigeron_sp1",1,1,3,0.0255238280445078,NA
"Erigeron_sp2",1,1,3,0.0675297015121437,NA
"Erigeron_sp3",1,0,1,0.0460137353802993,0.001
"Erigeron_sp4",0,1,2,0.0127619140222539,1
"Erigeron_sp5",1,1,3,0.0693149353356571,NA
"Erigeron_sp6",1,0,1,0.0255238280445078,0.131
"Erigeron_sp7",1,1,3,0.0238753549353701,NA
"Erigeron_tomentosa",1,1,3,0.0255238280445078,NA
"Erigeron_uniflorus",1,1,3,0.0180480718921108,NA
"Eriogonum_flavum",1,0,1,0.0191428710333808,0.614
"Eriogonum_ovalifolium",1,1,3,0.0270721078381663,NA
"Eriogonum_sp",1,1,3,0.0929081364795583,NA
"Eriogonum_subalpinum",1,0,1,0.0180480718921108,0.514
"Eriophyllum_lanatum",1,0,1,0.0467081674344322,0.006
"Eritrichium_nanum",1,1,3,0.0902403594605542,NA
"Erophila_verna",0,1,2,0.0735084246482905,0.001
"Eryngium_glaciale",1,0,1,0.052618719498804,0.01
"Eudema_sp",0,1,2,0.057073014553535,0.001
"Euphorbia_collina",1,0,1,0.0674347897273442,0.001
"Euphorbia_esula",1,1,3,0.0221042834883694,NA
"Euphorbia_nevadensis",1,1,3,0.100081400094878,NA
"Euphorbia_stracheyi",1,0,1,0.0221042834883694,0.217
"Euphrasia_frigida",1,1,3,0.0127619140222539,NA
"Euphrasia_minima",1,1,3,0.103678279633453,NA
"Euphrasia_salisburgensis",0,1,2,0.0654179627437482,0.002
"Euphrasia_sp",0,1,2,0.0245953761255369,0.312
"Euphrasia_tatrae",1,0,1,0.0127619140222539,1
"Euphrasia_willkommii",1,1,3,0.0451201797302771,NA
"Euphrasia_zealandica",1,1,3,0.0312601774957917,NA
"Festuca_alaica",1,1,3,0.0563550864205913,NA
"Festuca_arizonica",1,0,1,0.0969256730416398,0.001
"Festuca_brachyphylla",1,0,1,0.0792038472966715,0.001
"Festuca_clementei",1,0,1,0.0886154530077641,0.001
"Festuca_curvifolia",1,0,1,0.0863627574203854,0.001
"Festuca_iberica",1,0,1,0.0597804462050451,0.001
"Festuca_idahoensis",1,0,1,0.114901996120598,0.001
"Festuca_indigesta",1,1,3,0.126336503244776,NA
